Gene_ID,L15,S15,R15,L20,S20,R20,L25,S25,R25,L30,S30,R30,Bd,Flwr,YSe,MSe
AhKP_05738,49.39884831,17.05247549,2986.350723,248.5984631,41.58306702,2593.613901,109.2126383,15.03641159,2728.29271,141.3110028,114.2846051,2829.458321,358.036698,150.6518679,856.8804151,907.1478434
AhKP_05743,240.5509135,339.5666858,277.888595,229.023781,301.9292257,300.029894,213.7779303,334.0698401,254.0739909,192.900734,221.7665551,311.1881147,215.2788439,43.40816532,360.4010985,288.7061807
AhKP_05737,521.9095713,412.9664716,668.0746358,706.646025,638.2096807,708.7084872,848.1407016,569.4223694,712.33108,825.4356989,813.5975456,874.7262553,752.0483752,1698.02529,969.8665718,870.6217581
AhKP_05739,371.5652503,367.7403409,321.0311166,394.429845,286.2602439,353.8558551,397.3481095,294.1906616,357.5513981,432.9051355,266.6640785,375.256256,382.5910489,1189.894414,358.7516656,392.7805058
AhKP_05740,526.2051233,505.6429688,650.3100681,547.1123656,622.5406989,671.8277361,606.4786934,685.1373629,730.8091885,605.6185834,757.8157741,806.0818182,686.9507938,2701.519936,751.3167066,707.5052678
AhKP_05741,362.9741463,317.3243265,263.9307203,351.3655443,299.5186131,312.9879957,360.169339,292.8831475,329.8342355,284.8650374,318.364257,351.0672639,500.7945521,628.1416863,420.605401,354.2529912
AhKP_05745,242.6986895,217.2337095,173.8389841,208.4703647,193.4516596,176.429539,276.5171054,215.7398185,145.0531512,275.8929102,191.8348728,153.6327877,137.0475399,926.8920006,201.2308193,163.1164903
AhKP_05744,740.9827247,623.5274733,702.9693224,709.5822273,617.7194738,613.0178898,727.3096975,657.0258108,636.5708355,500.1960893,307.4800089,464.8209025,1226.575482,906.4646287,828.0153385,818.0842382
AhKP_05747,378.0085784,1244.089299,1046.206149,208.4703647,1464.447143,1566.933533,190.5411987,1317.974164,1687.975205,251.2195605,2233.991923,2048.219251,677.2432597,76.60264467,494.0051671,289.206538
AhKP_05746,156.787649,1093.582667,714.3894017,104.7245494,998.5962615,1000.764165,118.5073309,995.0181931,1061.567329,130.0958438,1176.859326,1197.681988,435.1259392,10.21368596,230.9206123,235.1679462
AhKP_05748,2581.626768,445.5885986,407.9506086,3674.167836,775.6145978,128.5842403,4893.655664,568.1148553,102.5535018,4459.147199,682.9865684,166.0541621,885.0986952,993.2809593,885.7454916,1533.595223
AhKP_05752,0,1.482823955,40.6047262,3.914936427,0,46.84852166,0,1.307514051,47.1191765,0,8.163186076,40.5329057,3.426188498,114.903967,16.49432945,6.504645319
AhKP_05753,977.2380862,510.0914407,605.8986488,832.9027248,606.8717172,559.1919287,1103.744749,678.5997927,652.2772276,785.0611266,401.3566487,426.903023,1364.765085,3436.905324,748.0178407,1072.265763
AhKP_05755,2585.92232,1115.083614,355.9258031,1873.29708,982.3246266,313.9847728,899.261511,995.6719501,274.3999102,881.5114936,994.5481703,301.3817666,794.3047,431.5282317,512.1489295,570.4073588
AhKP_05751,938.5781179,835.5712989,1008.773667,1025.713344,853.3568535,864.205708,1057.271286,1013.32339,987.6548957,746.9295862,672.1023203,770.7789649,537.3405627,993.2809593,737.2965265,934.6674966
AhKP_05749,27.92108818,5.189883844,19.03346541,32.29822552,15.66898177,32.89364286,0,3.268785128,15.70639217,0,5.442124051,26.15026174,10.84959691,114048.5708,2219.312028,16.01143463
AhKP_05750,16228.59556,4899.991761,2574.593421,12135.32419,3562.885394,1866.963427,9097.180402,3994.455427,1997.483521,6733.581435,3265.27443,1619.354958,3286.856832,7675.584996,2051.894584,2403.216267
AhKP_05754,560.5695395,759.2058652,549.4327015,483.4946487,935.3176813,679.8019525,499.5897283,1094.389261,764.0697836,607.8616152,1019.037729,921.7967265,340.9057555,449.4021821,546.7870213,421.8012311
AhKP_05763,90.20659257,257.2699563,2853.750914,129.1929021,677.9847883,5500.215798,613.4497129,675.9847646,6393.425517,518.1403436,1662.568898,9034.915432,3114.976376,12202.8013,9091.674394,6942.457985
AhKP_05756,0,0,72.9616174,0,0,0.996777057,0,0,0,0,0,0,0,0,123.7074709,417.7983724
AhKP_05759,2.147776014,0,92.62953165,1.957468213,0,1.993554113,0,0,0,0,0,0,1.142062833,0,196.2825205,452.3230283
AhKP_05757,1902.929548,1244.830711,1331.073681,1573.804444,1073.927905,1301.790836,1986.740547,1117.924514,1462.542282,1985.083134,1130.601272,1353.276045,772.6055062,2870.045754,1284.908264,1148.820435
AhKP_05762,801.120453,630.941593,996.7191386,992.4363842,817.800318,1225.039002,1257.107177,802.1598705,957.1660167,1020.579465,702.0340025,1012.015129,976.4637218,2464.051737,1218.10623,1143.316504
AhKP_05758,122.4232328,156.4379273,185.2590633,178.1296074,139.8155297,211.316736,183.5701792,131.4051622,224.5090174,204.1158929,127.8899152,332.1083241,81.65749253,293.6434713,122.0580379,120.5861171
AhKP_05760,8.591104054,0,523.4202987,1.957468213,1.20530629,7.974216452,0,1.307514051,0,2.24303179,0,0,0,10.21368596,526.993826,2357.68375
AhKP_05761,6.443328041,0,496.7734472,1.957468213,0.602653145,3.987108226,0,0.653757026,0.923905422,4.486063581,0,0,2.284125665,0,511.324213,2237.59799
AhKP_05769,0,0,55.83149853,0,1.20530629,0,0,0,0,0,8.163186076,0,3.426188498,0,103.0895591,225.6611568
AhKP_05764,354.3830422,269.1325479,373.6903709,323.9609893,350.7441305,326.9428745,508.8844209,338.6461393,290.1063024,405.9887541,273.4667335,267.3864263,589.3044216,288.5366283,471.7378223,552.8948521
AhKP_05765,272.7675537,263.2012521,181.4523702,300.4713708,310.3663698,186.3973096,357.8456659,314.4571294,267.9325723,480.0088031,355.0985943,217.700929,315.7803732,411.1008598,294.4237807,250.6790235
AhKP_05767,182.5609611,268.3911359,258.8551296,101.7883471,208.5179882,285.0782382,48.79713625,230.122473,274.3999102,168.2273843,284.3509817,266.0789132,449.972756,145.5450249,239.9924935,253.1808101
AhKP_05766,83.76326453,109.7289727,78.67165702,33.27695963,74.12633685,81.73571863,23.23673155,56.22310421,79.45586626,51.58973118,76.18973671,75.83575906,103.3566863,347.2653225,87.4199461,71.55109851
AhKP_05768,251.2897936,407.0351758,524.6891964,279.9179545,407.9961793,351.8623009,299.753837,375.9102898,382.4968445,374.586309,487.0701025,432.1330753,652.6889088,165.9723968,832.1389209,730.5217051
AhKP_05770,337.2008341,423.3462393,81.20945241,145.8313819,392.9298506,12.95810173,239.338335,375.2565327,40.65183855,188.4146704,232.6508032,35.30285335,136.4765085,0,149.2736815,163.6168476
AhKP_05771,253.4375696,441.8815387,55.19704968,116.4693587,337.4857613,10.96454762,232.3673155,390.2929443,26.79325723,150.28313,238.0929272,26.15026174,85.08368103,0,117.9344556,142.6018397
AhKP_05773,1623.718666,564.955927,327.375605,2110.150734,614.7062081,225.2716148,1584.745092,481.1651709,214.3460578,1233.667485,537.40975,206.5870678,1180.321937,1039.242546,589.6722779,812.0799502
AhKP_05774,302.8364179,467.089546,458.7065163,65.57518515,353.7573962,462.5045542,111.5363114,379.1790749,431.4638319,179.4425432,473.4647924,428.210536,772.0344748,125.117653,296.0732137,351.2508472
AhKP_05775,0,0,10.7856304,0,0,0,2.323673155,0,0,2.24303179,2.721062025,1.307513087,7.994439828,5.106842978,18.96847887,55.53966388
AhKP_05772,743.1305007,1220.364115,1108.382136,896.5204417,1110.689747,1469.249381,843.4933552,1153.227393,1596.508568,749.172618,1251.688532,1268.287695,540.1957198,6605.701392,828.0153385,599.428084
AhKP_05777,1855.678476,1760.853447,1690.171728,2453.686405,1836.284133,1767.285721,2595.542914,1618.702396,1762.811544,3010.148663,1916.988197,1937.734395,2032.871842,60876.12172,3015.98814,1734.238514
AhKP_05776,1387.463305,954.9386273,1312.040215,1552.272293,1168.544448,1408.445981,1542.918975,996.3257072,1280.532914,1431.054282,888.4267513,1316.665679,1470.405897,612.8211574,1365.730479,1103.287918
AhKP_05778,526.2051233,389.2412883,318.4933212,580.3893253,378.4661752,321.9589893,632.0390981,396.1767576,264.2369506,672.9095371,329.2485051,295.4979577,569.318322,750.7059178,429.6772822,449.8212417
