Gene_ID	L15	S15	R15	L20	S20	R20	L25	S25	R25	L30	S30	R30	Bd	Flwr	YSe	MSe
g2286	2	212	710	4	178	788	1	28	562	0	94	750	36	14	22	11
g2287	211	735	1062	399	1054	743	233	1106	714	213	516	971	1725	197	2021	1956
g2288	1	1	1	0	1	3	2	3	0	0	4	6	5	5	0	7
g2289	116	248	307	271	262	162	92	270	206	86	75	149	219	86	155	237
g2290	661	958	1126	1338	1071	729	469	923	781	687	638	1293	953	447	705	1079
g2291	4777	1572	1073	11900	2547	268	7283	2019	231	5429	725	397	2857	22	2170	4278
g2292	285	3209	7011	1140	3530	4904	163	3223	8423	326	2595	12772	13646	984	4353	6247
g2293	237	617	844	554	850	573	191	697	531	293	572	1103	439	128	630	990
g2294	3	2	3	7	0	0	3	1	1	2	0	0	0	0	2	11
g2295	0	0	2	0	2	0	0	0	1	0	0	1	0	0	0	0
g2296	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
g2297	0	0	0	0	2	0	0	0	1	0	4	0	2	0	0	0
g2298	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0
g2299	14	153	72	26	133	71	6	112	72	8	52	146	41	0	125	102
g2300	146	966	1228	430	1146	770	152	1078	811	213	544	1392	1313	176	1017	1542
g2301	266	1432	2159	518	1289	1001	318	1585	1307	314	663	1466	2013	1692	1191	1926
g2302	344	1503	1539	916	1637	838	434	1799	969	421	703	1320	2535	1018	1274	2580
g2303	4	2	4	2	2	0	0	0	6	0	4	6	4	2	2	8
g2304	657	1521	1415	1085	1641	1065	539	1576	919	525	768	1354	2269	529	1135	1938
g2305	44	95	110	75	107	53	29	121	59	22	26	61	288	118	128	253
g2306	56	203	215	143	211	133	89	199	112	106	158	291	325	281	162	390
g2307	1	0	0	0	0	0	0	0	0	1	0	6	0	0	2	3
g2308	2093	8112	7997	3812	7666	4923	1751	9262	5160	2254	3448	7105	5834	4933	5103	10319
g2309	93	1327	2018	247	1316	2020	116	1296	1431	132	449	2356	491	94	451	945
g2310	7	40	63	23	27	14	4	10	14	0	4	37	589	1867	237	227
g2311	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g2312	0	0	4	0	2	2	1	0	4	0	6	6	2	0	2	4
g2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2314	0	0	198	0	0	143	0	4	150	0	0	133	0	0	2	4
g2315	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
g2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2317	0	0	2	0	0	10	0	0	2	0	0	4	0	2	1	0
g2318	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	3
g2319	46	79	67	56	137	64	25	99	65	12	41	54	196	17	77	158
g2320	20	36	62	98	53	44	27	58	49	38	30	46	92	20	90	159
g2321	4128	1878	721	10216	2568	420	2975	1922	423	2667	1554	826	1850	357	1179	1893
g2322	3	0	9	24	4	6	6	4	5	4	0	8	0	0	0	1
g2323	2	2	0	3	2	2	4	1	14	0	4	7	8	0	12	16
g2324	1514	1445	520	3140	1721	248	1481	1629	252	1182	630	332	1229	44	808	1325
g2325	16	103	119	15	67	63	10	97	71	10	12	59	160	42	74	162
g2326	10	84	143	24	104	79	16	95	83	19	83	166	95	31	77	184
g2327	36	142	175	37	211	133	18	132	143	50	112	264	178	77	100	212
g2328	117	223	207	110	261	165	48	195	185	16	39	210	677	188	239	419
g2329	0	0	2	0	2	2	0	2	1	0	0	4	0	6	2	0
g2330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2331	12	51	158	28	55	123	0	39	144	7	18	122	53	4	57	92
g2332	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
g2333	28	206	1182	29	234	700	9	140	627	6	54	849	406	4644	548	256
g2334	109	464	542	215	527	393	96	524	411	167	301	670	391	132	378	544
g2335	443	1692	1578	1055	2113	1024	498	1892	1095	507	780	1777	2193	209	1201	2220
g2336	976	1644	1790	2554	2067	1116	908	1606	1007	789	861	1905	1547	2702	1405	1851
g2337	27	61	49	22	51	34	12	40	29	2	23	20	377	26	52	90
g2338	52	91	131	48	124	64	31	140	68	16	35	90	659	78	120	333
g2339	4	2	56	26	4	39	4	0	39	10	0	46	53	2	23	20
g2340	1831	6631	7232	3343	6173	5750	1275	6616	6194	1586	3268	7140	2604	1706	3156	3856
g2341	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
g2342	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
g2343	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0
g2344	979	3624	3715	1454	3719	3127	379	3523	3077	651	1855	3450	1536	779	1423	2179
g2345	8	0	6	18	0	2	6	2	13	17	6	6	8	45	2	15
g2346	1738	2727	3161	4431	3707	1991	2179	3343	1967	2321	1811	3404	4486	2093	2721	4973
g2347	1	4	4	6	2	12	2	2	14	1	1	2	4	1	4	1
g2348	468	1894	2387	1188	2669	2254	413	2183	2130	627	1288	3413	2377	352	1204	2089
g2349	438	3125	2806	707	3741	2399	307	3438	2661	349	1470	3418	3035	139	879	1824
g2350	3106	12953	14334	5899	13580	10701	2238	12451	11328	2101	5425	11834	6609	4849	6859	9102
g2351	12	0	20	3	0	0	8	4	0	16	0	0	34	0	32	60
g2352	783	3221	7542	2119	5407	4190	863	3322	4437	689	3151	6344	1628	61	1214	1432
g2353	569	1134	1220	1463	1447	826	682	1314	896	770	871	1415	939	134	984	1106
g2354	818	2805	2758	1332	2612	1853	277	2120	1674	481	1101	1477	1766	56	1724	1943
g2355	9917	4349	2948	21707	4892	823	9169	5869	1219	10180	3262	1911	14446	386	5101	10559
g2356	38	63	99	59	46	45	30	60	70	32	20	45	376	56	108	192
g2357	86	521	685	268	547	367	72	630	494	142	336	470	933	400	535	1197
g2358	8	171	274	12	143	301	6	71	205	3	90	351	31	48	69	273
g2359	253	780	873	458	879	592	214	936	706	201	284	643	413	272	397	451
g2360	465	1105	1321	941	1242	987	403	1132	879	563	795	1715	1288	872	807	1308
g2361	3491	1572	680	12089	2994	310	4268	2530	313	5556	1502	541	1872	17	1292	2044
g2362	779	3441	4898	2617	4284	2566	1245	3623	2892	1019	1882	5393	2847	111	3051	5271
g2363	1	0	0	15	0	0	2	0	0	0	2	2	0	0	0	7
g2364	48354	10067	2920	132265	15917	438	57548	14468	401	63623	6084	492	8015	117	8980	13629
g2365	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
g2366	21	123	133	46	110	85	19	188	126	17	66	134	183	37	110	168
g2367	360	352	392	1105	527	28	722	687	47	802	451	44	1494	27	1273	2100
g2368	92	1272	1294	176	1599	927	57	1617	1097	74	469	1115	795	199	572	886
g2369	782	520	637	1590	745	681	713	500	786	691	328	1364	705	37	346	394
g2370	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2
g2371	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
g2372	289	484	477	430	395	254	165	476	234	28	38	58	2377	173	643	1068
g2373	651	1391	1650	1271	1684	842	626	1642	993	312	258	596	5357	434	1660	3416
g2374	5	0	0	6	2	0	4	1	1	8	2	2	2	0	1	2
g2375	0	0	2	1	0	2	0	0	6	0	0	0	13	4	0	6
g2376	0	0	3	2	1	0	0	0	9	0	0	2	8	0	5	14
g2377	2	1	0	21	4	2	2	2	0	4	0	0	4	0	1	2
g2378	14	481	982	10	693	1191	9	374	781	19	428	1757	484	1	166	275
g2379	0	0	265	0	2	0	2	0	0	0	2	0	6	0	132	1901
g2380	58	304	1484	51	274	1234	20	210	1174	26	38	771	868	2	407	1741
g2381	3	6	0	2	2	2	0	2	7	1	0	0	16	2	9	20
g2382	148	355	413	152	361	230	63	397	239	33	75	145	1254	80	382	741
g2383	76	190	237	85	283	215	31	179	204	87	296	538	445	65	255	454
g2384	0	0	2	0	2	0	0	2	0	0	0	2	0	0	0	4
g2385	164	408	427	271	471	243	131	390	314	128	147	359	557	409	296	604
g2386	10	24	32	10	16	16	11	15	19	2	2	6	51	28	25	35
g2387	390	2173	1480	1096	2574	490	501	2384	532	406	1118	780	3246	428	2254	4142
g2388	4	10	9	2	8	2	0	0	2	0	5	0	0	0	2	2
g2389	2	8	0	0	2	8	0	4	11	1	0	16	0	1	3	6
g2390	13	14	47	10	38	57	2	12	104	2	8	220	22	14	10	25
g2391	0	0	2	0	0	2	0	0	0	0	4	4	2	0	0	6
g2392	12	77	84	10	83	43	2	58	29	6	102	124	399	10	137	149
g2393	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g2394	0	0	5	0	8	4	2	0	6	0	6	4	12	0	10	8
g2395	250	1597	2700	383	1921	2256	97	1804	2312	146	1033	2719	1003	2	658	1058
g2396	20	56	60	51	57	49	12	51	56	19	26	86	258	72	112	225
g2397	431	1487	1886	648	1917	1254	245	1656	1366	255	996	2156	2750	380	1658	2399
g2398	23	81	104	36	93	57	15	125	68	13	5	23	166	10	92	117
g2399	196	277	701	347	241	291	190	299	270	199	152	460	1078	509	748	1644
g2400	2	4	5	3	8	4	0	8	9	2	9	8	2	7	8	2
g2401	0	0	1	1	2	0	0	0	3	0	2	0	2	0	0	4
g2402	382	1021	1360	1198	1559	913	552	1172	849	722	942	1739	964	306	936	1499
g2403	2	0	2	1	1	0	0	0	1	0	6	0	4	0	2	4
g2404	181	401	473	461	575	262	206	484	369	174	123	341	478	114	359	546
g2405	141	432	351	242	421	207	96	329	302	37	43	166	363	53	245	383
g2406	0	0	3	3	0	0	0	0	8	2	8	0	7	4	0	3
g2407	174	543	648	384	710	358	172	585	405	184	334	728	470	126	468	541
g2408	34	166	113	47	131	84	33	132	89	10	5	48	264	103	81	177
g2409	16	83	73	35	44	38	16	62	50	4	10	25	119	32	42	108
g2410	84	365	402	129	353	236	62	318	279	63	295	621	494	530	265	584
g2411	139	567	857	341	825	597	155	803	724	132	275	902	572	605	648	756
g2412	180	1029	1679	553	1337	1333	260	1189	1211	369	889	2629	940	1381	1140	1420
g2413	2599	9940	8505	4944	9505	5378	1976	9996	5135	1749	4227	7806	9002	407	5514	8513
g2414	485	42	177	1154	50	107	294	58	72	228	43	104	207	18	188	315
g2415	61	7	25	146	6	10	40	11	13	21	3	20	22	0	17	29
g2416	752	1933	2284	1051	1841	1474	406	1568	1704	708	1372	3133	2001	777	1111	1939
g2417	627	1338	1317	860	1121	763	318	1129	852	176	150	588	2243	308	834	1338
g2418	1540	8928	11972	2743	9846	6702	1078	9348	7378	1611	5033	10030	27657	1675	13508	23169
g2419	1446	6218	7265	2376	6526	4326	1069	7067	4657	1403	3560	6740	14709	1558	8102	13424
g2420	1819	8006	9800	3142	8008	6213	1360	7944	6389	1958	4663	9627	22939	4791	11360	18700
g2421	0	0	2	2	0	0	0	0	0	0	0	0	0	0	38	15
g2422	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g2423	0	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0
g2424	0	2	2	0	5	0	2	0	8	0	2	0	4	2	0	6
g2425	102	536	540	147	635	397	40	480	420	76	252	493	1018	71	234	455
g2426	5512	19440	25981	7113	17262	13735	6415	25965	20058	5934	10151	21366	12131	272	13954	18930
g2427	0	0	2	2	0	0	0	0	1	0	2	2	1	0	1	1
g2428	374	7709	10005	3876	3202	2532	210	3641	2996	421	582	2804	1093	316	553	2649
g2429	84	133	117	135	115	56	60	144	53	10	16	34	292	45	118	225
g2430	701	1709	1773	1681	2136	1043	759	1958	1184	730	775	1703	2878	544	1491	3055
g2431	44	106	155	129	190	101	39	172	118	61	129	230	147	31	172	341
g2432	352	464	627	917	672	500	346	674	476	401	403	725	1122	251	722	1292
g2433	1226	4227	4330	2641	3971	3023	1078	3786	3058	946	1346	3901	2864	313	2219	3299
g2434	0	0	0	0	0	0	4	0	1	0	0	0	0	0	2	4
g2435	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
g2436	522	1032	1011	1843	1471	608	795	1432	705	810	846	1521	1069	279	1086	1481
g2437	115	635	5794	2060	744	1004	122	606	1656	186	106	631	106	244	243	314
g2438	793	376	537	2246	420	195	435	412	180	364	139	197	926	365	482	598
g2439	2	0	2	12	6	0	0	0	0	0	0	0	4	0	0	6
g2440	345	236	360	1034	299	164	149	278	169	386	270	396	444	151	245	327
g2441	11394	35686	33858	32048	44704	24824	14948	42582	28327	15603	18297	31481	12092	770	15638	19594
g2442	86	201	444	188	459	378	68	317	312	96	243	654	318	117	281	464
g2443	35	123	277	87	173	150	26	163	140	44	71	258	165	13	264	246
g2444	9	41	91	24	47	53	10	47	36	13	57	101	61	5	75	86
g2445	179	902	1408	462	1385	940	186	1491	1238	174	843	2106	2416	409	1535	2264
g2446	0	1	0	0	0	0	0	0	2	0	2	0	1	4	3	4
g2447	23	115	272	33	165	190	7	129	185	22	68	311	69	4	140	102
g2448	19	168	525	50	728	518	22	803	619	16	285	896	127	6	99	208
g2449	267	638	789	605	734	386	469	836	555	323	413	696	1218	536	699	1054
g2450	0	3	4	0	0	4	0	2	8	0	0	5	2	2	0	4
